"한국말","Korean language (native, more casual)"
"두껍다","thick"
"장갑","gloves"
"걱정하다","to worry"
"약혼녀","female fiancée"
"약혼자","male fiancé"
"사천","cousin"
"재미교포","Korean-American"
"교포","Korean-American (abbr)"
"부대찌개","army stew"
"가지고 오다","to come and be bringing something"
"갈아타다","to transfer"
"걸어가다","to go somewhere on foot"
"걸리다","to take time"
"그렇다","to be so"
"끝나다","to be finished"
"끝내다","to finish"
"기다려지다","to look forward to"
"기다리다","to wait"
"기분이 좋다","to feel good"
"나가다","to go out"
"내다","to pay"
"내리다","to get off"
"덮다","to cover up, to close (e.g., book)"
"뛰다","to run, to jump"
"모르다","to not know"
"반갑다","to be glad/pleased"
"버리다","to throw away"
"뵙다","to see/meet someone (honorific)"
"사귀다","to date, make friends"
"친구하다","to make friends"
"쉽다","to be easy"
"스키타다","to ski"
"승진하다","to be promoted"
"머신러닝","machine learning"
"경영하다","to manage (profession)"
"매니저","manager"
"시장보다","to grocery shop"
"신다","to wear shoes, socks"
"채소","vegetables"
"디저트","dessert"
"어휘","vocabulary"
"아니다","to not be"
"얘기하다","to chat (contracted)"
"어울리다","to fit in (e.g., socially), to suit (e.g., clothing)"
"울다","to cry"
"웃다","to grin, laugh"
"시키다","to order food (command)"
"주문하다","to order food (more humble)"
"졸업하다","to graduate"
"지내다","to get along, to spend (one's time)"
"차다","to be cold (an object)"
"초대하다","to invite"
"컴퓨터하다","to use a computer"
"파티하다","to have a party"
"피다","to bloom (flowers)"
"헤어지다","to break up (with someone)"
"살을 빼다","to lose weight (intentionally)"
"살이 빠지다","to lose weight (unintentionally)"
"목소리","voice"
"변호사","lawyer"
"고향이","hometown"
"잘 다녀오세요","safe returns (honorific)"
"잘 갔다 와요","safe returns (polite)"
"사 오다","to buy and return"
"갖다 드리다","to fetch and give"
"위해서","for someone"
"이렇게","like this"
"전","pancake"
"구경하다","to look around, to see the sights"
"친절하다","to be kind"
"편하다","to be comfortable"
"모두","everyone, all"
"제일","best, most"
"또","again"
"도시","city"
"문화","culture"
"이제","now"
"싱겁다","bland, tiresome, tedious"
"길다","to be long"
"날다","to fly, travel through the air"
"나이","age (plain)"
"연게","age (honorific)"
"댁","house (honorific)"
"진지","meal (honorific)"
"면","people counter (plain)"
"분","people counter (honorific)"
"저희","we, our (humble)"
"븹다","to meet someone (humble)"
"죽다","to die (plain)"
"돌아가시다","to die (honorific)"
"드리다","to give (humble)"
"말씀드리다","to speak (humble)"
"께서는","은/는 (honorific)"
"교수님","professor (honorific)"
"기역","The letter ㄱ"
"디귿","The letter ㄷ"
"시옷","The letter ㅅ"
"이응","The letter ㅇ"
"쌍기역","The letter ㅆ"
"이름이 어떻게 되세요?","What's your name?"
"어느 나라에서 오셨어요?","What country are you from?"
"처음 뵙겠습니다","Nice to meet you (deferential, humble)"
"만나서 반갑습니다","Nice to meet you (deferential)"
"무슨 일하세요?","What kind of work do you do?"
"이름을 이렇게 쓰세요?","Do you write your name like this?"
"태어나다","to be born"
"반찬","side dishes"
