"Thomas Keller","The French Laundry, Per Se, Bouchon Bakery"
"Jiro Ono","Chef and proprietor from Jiro Dreams of Sushi"
"Daisuke Nakazawa","Jiro's protege"
"Roy Choi","Started Korean-Mexican food truck, Kogi"
"Hot Luck","Three day food festival started by Aaron Franklin."
"Aaron Franklin","Chef and proprietor from Franklin Barbecue"
