"Jamón ibérico de bellota","Highest grade ibérico ham. Pure bred, free range, acorn diet, aged 3 years."
"Jamón ibérico de recebo,"Second highest grade ibérico ham. Free range, acorn and cereal diet, aged 3 years."
"Jamón ibérico cebo de campo","Third highest grade ibérico ham. Free range, cereal diet."
"Jamón ibérico de cebo","Lowest grade ibérico ham. Commercially farmed, cereal diet."
"patatas vravas","fried potatoes with spicy tomato sauce and aioli"
