___를 세어 보세요,Count the ____s.
열매,any biological or figurative fruit (edible or inedible)
부사,Fuji apple
서양배,European pear
동양배,Asian pear
왕,king
여왕,queen
여왕개미,queen ant
수개미,male ants
일개미,worker ants
천적,"predator (literally ""natural enemy"")"
적,enemy
병정개미,soldier ants
곤충,insect
식물,plant
불꽃놀이,fireworks
마법의,magical
수염,facial hair; corn silk
말벌,wasp
수리,eagle
자몽,grapefruit
연어,salmon
해바라기,sunflower
파리,fly (insect)
꼬리,tail (belonging to animal)
도마뱀,lizard
기침,cough
야생 동물,wild animals
곰인형,teddy bear
흔들 목마,rocking horse
비둘기,pidgeon
낮다,low (opposite of 높다)
번개,lightning
번개가 치다,there's lightning
참외,Korean melon
상추,lettuce
털모자,knitted winter hat
장화,boots (above ankle)
수영복,swimwear (any gender)
쿠키,cookie
부끄럽다,"to be ashamed, embarrassed"
열대어,tropical fish
열대과일,tropical fruit
열대우림,tropical rainforest
파도,wave (ocean)
매미,cicada
솜사탕,cotton candy
젖,breast milk (any animal)
검정,black (alternative to 검은색)
아몬드,almond
물범,seal (animal)
찢다,"to tear, split"
찢어지다,to be torn
방귀(를) 뀌다,"to fart (official, but not common)"
방구 귀다,to fart (unofficial)
멸치,anchovy
미역,seaweed used in Korean seaweed soup
알에서 나온 애벌레,larva that emerged from the egg
숨다,"to hide (e.g., hide and seek)"
세상,world (not necessarily Earth)
밥풀,grains of rice
방문,visit
버스정류장,bus stop
기숙사,dormitory
친구 아버지께서 자동차로 저를 기숙사까지 데려다 주셨습니다.,My friend's dad took me by car to the dormitory. (formal)
인생,life
가정,home
믿음,"trust (as in, faith)"
장남,first son
차녀,second daughter
일시,date and time
반쪽,half
이루다,to accomplish
섭섭하다,to be (lighter) sad
설레다,"to be tingly, excited"
서둘다,to hurry
행사,event
달콤하다,sweet (equivalent to 달다)
사탕 두 봉지,two bags of candy
배 한 상자,one box of asian pears
두렵다,to be fearful; to feel uneasy
정신 건강,mental health
아무것도 기억이 않나?,Do you remember nothing? (informal)
문장 연습,sentence practice
욱신거리다,to be sore (variant 1)
욱신욱신하다,to be sore (variant 2)
팔다리가 욱신거려요.,My arms and legs are sore.
온몸,whole body
결과,"results or outcomes (e.g., from effort like exercise)"
확인하다,to see or confirm
나이가 많을수록 외국어를 배우는 게 어려워요.,"The older you get, the harder it is to learn a foreign language."
결과 확인할 수 있어요.,You can see results.
~(으)ㄹ 수도 있어요.,Maybe I/it might...
제 친구가 알 수도 있어요.,My friend might know.
저 내일 못 올 수도 있어요.,I might not be able to come tomorrow.
정말 그럴 수도 있어요.,It might really be so.
욕실,bathroom
꼭 그렇게 말해야 돼?,Do you really have to say it like that? (informal)
제육볶음,stir-fried spicy pork
볶음김치,fried kimchi
똑같은 걸로 2개 주세요.,Please give me two of the same thing.
간단하다,"to be simple, easy"
안 해봤지만 간단할 것 같아요.,"I haven't tried it, but it looks like it'll be easy."
그런 사람 하고 이야기하지마.,Don't talk to people like them.
그 사람 하고 이야기하지마.,Don't talk to that person.
그런 방법으로는 안돼요.,It can't be done with that kind of method.
메모,"memo (message, notes)"
메모지,sticky note (the physical object)
아재개그,dad jokes
10회까지,through the 10th episode
택배,delivery of things like groceries
경찰 드라마,police drama
지루하다,"to be boring (e.g, class, homework, movie)"
에어프라이어,air fryer
멋져요!,That's great!
주원홈트,Joowon Home Training (YouTube channel)
삐약스핏,PPIYAK's FIT (another name used by 주원홈트)
황시목,Main character male prosecutor (비밀의 숲 2)
한여진,Main character female police officer (비밀의 숲 2)
우태하,"황시목's new supervisor (prosecutor, 비밀의 숲 2)"
김사현,"우태하's report from same school, 시목's senior (prosecutor, 비밀의 숲 2)"
서동재,Opportunistic kiss-up prosecutor (비밀의 숲 2)
강원철,Eastern District chief prosecutor (비밀의 숲 2)
최빛,"한여진's supervisor (police, 비밀의 숲 2)"
최윤수,"한여진's previous supervisor, whom she now out-ranks (police, 비밀의 숲 2)"
장건,"한여진's previous coworker, in group negotiating investigative authority (police, 비밀의 숲 2)"
선현우,Owner of TTMIK
최경은,"Teacher at TTMIK (e.g., Daily Routines Listen & Repeat)"
개미,ant
염소,goat
양,lamb
병아리,chick (baby chicken)
호랑이,tiger
다람쥐,squirrel
기린,giraffe
코끼리,elephant
원숭이,monkey
악어,crocodile
무지개,rainbow
코끼리,elephant
공룡,dinosaur
말,horse
펼치다,"to open, unfold, spread out"
들리다,"to be heard, audible"
딱따구리,woodpecker
매미,cicadas
다람쥐,squirrel
도토리,acorn
거미,spider
무당벌레,ladybug
지렁이,worm
방울벌레,cricket (Asian)
금붕어,gold fish
사자,lion
얼룩말,zebra
하마,hippo
조개,seashell
문어,octopus
메뚜기,grasshopper
벌,bee
게,crab
소방차,fire truck
구급차,ambulance 
복숭아,peach
베개,pillow (bed)
해,sun
별,star
달,moon
공,ball
고르다,to select
대한,about
보기,example
빈칸,blank
맑다,"to be clear, fresh, pure"
하늘,sky
맞지 않는 것,incorrect thing
지하,underground
내용,meaning
같은 것,same thing
그러면,therefore; long form of 그럼
물음,question
맞는 대답,correct response
이어지다,to be connected (meaning)
부탁하다,to ask a favor; to ask to take care of something
벽,wall
걸다,"to hang (e.g., on a wall)"
세탁소,"laundromat, dry cleaners"
미용실,beauty salon
미술관,art gallery
대화,conversation
넓은,spacious
짐,load
장미,rose
축제,festival
빨간색,red
박물관,museum
지도,map
관광,"tour, sightseeing"
안내소,info bureau
확인하다,"to confirm, verify"
출발하는,departing
포장하다,to get takeout (food)
남은,remaining
적이 있다,to experience
중심 생각,central idea
도로,road
사고,accidents
안전하다,to be safe
나다,to occur; to appear; to be born
산,mountain
올라가다,"to go up, to ascend"
내려가다,"to go down, to descend"
구경하다,to sightsee
답하다,to answer
특별하다,to be special
행사,event
정하다,"to decide, to determine, to pick"
쉬다,to rest
쉽다,to be easy
바꾸다,to change
튀근하다,to get off work
방법,method
교환하다,to exchange
기간,duration
부탁하다,to ask favor
좋운 점,benefits
찾아오다,to visit
이해하다,to understand
습관,habits
기르다,"to grow (e.g., hair), to foster (e.g., habits)"
마음에 들다,to like
정도,approximately (some count)
함께,together
연극,a play (at theater)
영국,England
극장,theater
오래,for a long time
바로,immediately
짧은 시간 동안,for a short time
인기가 많다,to be popular
지키다,to protect or defend; to watch over
감다,to wash oneself; to close one's eyes
때문,because
그러나,but
웃음,laughter
공연,a show
그런데,by the way
그러면,then (unabbreviated)
그럼,then (abbreviated)
모습,appearance
찍다,"to take a picture, to record video"
글,writing
지우게,eraser
지우다,to erase
사용하다,to use (a tool)
매표소,ticket office
동전,coin
남다,to remain
이제,now
움직이다,to move (motion)
온몸,entire body
조금씩,little by little
어리다,to be young
N 덕분에,thanks to N
바라다,"to hope, to want"
숫자,number
특별하다,to be special or exceptional
의미하다,to mean; to signify
이름을 지다,to name
외롭다,to be lonely
급하다,to be in a hurry
병원,hospital
빵집,bakery
계절,season
예약하다,to make a reservation
취직,finding employment
계획을 세우다,to have plans
급하다,"to be urgent, pressing"
건강을 위하다,to benefit health
줄이다,"to reduce something (e.g., candy)"
물건,merchandise
이용하다,to use (a resource)
만지다,"to touch, to handle"
출근하다,to go to work
두다,to put
소포,package
아까,just now
치다,to hit; to play
약국,pharmacy
아래,below
가구,family
옷장,wardrobe
대한,about
할인하다,to be discounted
금방,"soon, shortly"
