"five aggregates","1) form, 2) basic feelings, 3) perceptions, 4) mental formations, 5) consciousness"
"arhats","truly enlightened beings"
"Bodhisattva","being beyond samsara, but choses to remain w/i samsara to help all beings become enlightened"
