"first-team focus","putting your relationship with your peers first, your division second. Important as transition into senior leadership positions."
"cone of silence","disagreeing with peers in private, but supporting a unified consensus to the rest of the company. Part of first-team focus."
"empire building","building out your team without considering what is best for your company"
"shallow binding","rallying the team based on what is special about them. Results in fragile, resistant, and inflexible teams"
"purpose-based binding","creating a team with strong and enduring alignment with the company. Results in resilient, driven, flexible teams"
"Conway’s Law","Organizations that produce systems will produce systems that reflect the design of the organization"
